"General" "FLORESTA" "PALMA" "PASTO"
"frag.Inseto" 43.6213991769547 18.6929023190443 22.8344895936571 64.1734647031818
"frag.InsetoAUT" 0.332681641897835 0.632466619817287 0.766435414601916 0
"diptera_Auto" 0.00455728276572376 0.0702740688685875 0 0
"Naucoridae" 0.0546873931886852 0.84328882642305 0 0
"Coleoptera" 6.80265598439586 25.0878425860857 11.192599933928 0
"Coleoptera_Gorgulho" 0.0214192289989017 0 0 0.165978034396299
"frag.InsetoALO" 4.51170993806653 6.7463106113844 11.3974231912785 0
"Heteroptera_Auto" 0.0182291310628951 0.28109627547435 0 0
"Hymenoptera" 0.0264322400411978 0 0.191608853650479 0
"Demaptera" 0.0797524484001659 0 0.578130161876445 0
"Formiga" 44.4740667824216 47.2241742796908 52.8576148001321 35.6605572624219
"Odonata" 0.0273436965943426 0.421644413211525 0 0
"Frag.Vegetal" 0.0250650552114807 0 0.181698050875454 0
