Stream	Treatment	IND.	TOB	C.T	C.P	P.T
PST-TA04	PASTO	HM_07	1689	56.2	47.18	1.04
Palm_10	PALMA	HM_07	596	56.38	46.7	1.14
PST-TA08	PASTO	HM_22	2134	56.59	48.04	1.13
P22F9	FLORESTA	HM_30	496	56.74	47.7	1.36
PST-TA06	PASTO	HM_19	1623	56.79	47.87	1.43
PST-TA03	PASTO	HM_04	2020	57.38	47.99	0.88
PST-TA05	PASTO	HM_10	1793	57.84	49.12	1.29
PST-TA06	PASTO	HM_17	1671	57.88	50.06	1.58
P22F9	FLORESTA	HM_29	496	57.88	48.63	1.33
PST-TA01	PASTO	HM_01	1517	58.42	48.43	1.48
Palm_12	PALMA	HM_13	638	58.75	48.97	1.19
P23F10	FLORESTA	HM_38	560	59.22	51.4	1.45
PST-TA06	PASTO	HM_16	1671	59.28	49.41	1.42
PST-TA01	PASTO	HM_02	1481	59.56	48.89	1.33
P5F5	FLORESTA	HM_14	1619	59.68	50.9	1.35
P5F5	FLORESTA	HM_09	1620	59.73	47.33	1.10
PST-TA05	PASTO	HM_12	1811	59.88	50.03	1.66
PST-TA05	PASTO	HM_09	1765	60.4	50.23	1.63
PST-TA06	PASTO	HM_18	1623	60.42	50.07	1.76
Palm_12	PALMA	HM_17	628	60.64	50.99	1.35
PST-TA05	PASTO	HM_13	1811	61.3	50.67	1.66
P22F9	FLORESTA	HM_32	503	61.54	51.83	1.67
P23F10	FLORESTA	HM_37	560	61.64	51.65	1.32
P1F1	FLORESTA	HM_02	1398	62.32	53.04	1.26
Palm_10	PALMA	HM_08	596	62.42	52.1	1.53
P1F1	FLORESTA	HM_03	1398	62.56	52.11	1.36
PST-TA08	PASTO	HM_21	2091	63.36	52.52	1.79
P22F9	FLORESTA	HM_31	502	63.59	53.15	2.24
PST-TA06	PASTO	HM_20	1591	63.76	53.11	2.04
P35F13	FLORESTA	HM_47	521	64.42	53.14	2.11
Palm_16	PALMA	HM_26	703	65.07	55.33	1.95
Palm_12	PALMA	HM_16	628	68.15	56.77	1.81
